"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Morbihan - Série arrêtée";"001786338";"07/03/2019 12:01";"";"195";"178";"206";"214";"242";"225";"227";"226";"249";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Moselle - Série arrêtée";"001786339";"07/03/2019 12:01";"";"389";"336";"304";"336";"346";"393";"387";"429";"464";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Nièvre - Série arrêtée";"001786340";"07/03/2019 12:01";"";"94";"81";"89";"89";"94";"90";"74";"72";"74";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Nord - Série arrêtée";"001786341";"07/03/2019 12:01";"";"640";"662";"674";"692";"811";"844";"907";"852";"964";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Oise - Série arrêtée";"001786342";"07/03/2019 12:01";"";"187";"174";"179";"183";"188";"201";"207";"231";"266";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Orne - Série arrêtée";"001786343";"07/03/2019 12:01";"";"48";"51";"49";"51";"66";"61";"63";"63";"79";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Pas-de-Calais - Série arrêtée";"001786344";"07/03/2019 12:01";"";"820";"818";"801";"820";"879";"899";"913";"861";"899";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Puy-de-Dôme - Série arrêtée";"001786345";"07/03/2019 12:01";"";"182";"194";"215";"191";"206";"214";"235";"268";"227";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Pyrénées-Atlantiques - Série arrêtée";"001786346";"07/03/2019 12:01";"";"426";"412";"398";"421";"498";"484";"506";"537";"539";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Hautes-Pyrénées - Série arrêtée";"001786347";"07/03/2019 12:01";"";"1952";"1616";"1584";"1309";"1406";"1437";"1410";"1495";"1505";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Pyrénées-Orientales - Série arrêtée";"001786348";"07/03/2019 12:01";"";"281";"236";"256";"263";"225";"241";"269";"284";"314";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Bas-Rhin - Série arrêtée";"001786349";"07/03/2019 12:01";"";"1282";"1399";"1401";"1533";"1601";"1590";"1612";"1718";"1824";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haut-Rhin - Série arrêtée";"001786350";"07/03/2019 12:01";"";"968";"1019";"1027";"1157";"1178";"1166";"1160";"1218";"1243";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Rhône - Série arrêtée";"001786351";"07/03/2019 12:01";"";"889";"933";"958";"1117";"955";"1133";"1240";"1256";"1343";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Saône - Série arrêtée";"001786352";"07/03/2019 12:01";"";"37";"29";"26";"25";"27";"29";"26";"28";"31";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Saône-et-Loire - Série arrêtée";"001786353";"07/03/2019 12:01";"";"401";"366";"367";"352";"386";"417";"411";"398";"397";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Sarthe - Série arrêtée";"001786354";"07/03/2019 12:01";"";"93";"98";"105";"103";"103";"123";"114";"123";"146";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Savoie - Série arrêtée";"001786355";"07/03/2019 12:01";"";"1069";"1122";"1162";"1250";"1208";"1268";"1358";"1240";"1320";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Savoie - Série arrêtée";"001786356";"07/03/2019 12:01";"";"1266";"1399";"1396";"1473";"1362";"1567";"1684";"1672";"1755";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Paris - Série arrêtée";"001786357";"07/03/2019 12:01";"";"22398";"23905";"24410";"25309";"24394";"23730";"20644";"23733";"26256";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Seine-Maritime - Série arrêtée";"001786358";"07/03/2019 12:01";"";"467";"476";"499";"474";"502";"519";"508";"551";"578";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
